x,y,z,Cell type,u,v,w
1498.346,1391.2391,523.2954,TAC-2,4.15720987135359,-4.23655575928968,-2.8865559339143485
-915.70166,487.43167,-928.6365,TAC-1,0.6632008021410181,-2.2780978461622667,2.29986247315766
-929.488,1252.6271,-523.86426,IRS - Henle's layer,5.062856413219428,0.9320758446226284,6.20162540069752
1276.6482,1038.0011,624.063,TAC-2,2.769868732089947,-6.238236493796644,2.635668255826113
-947.07544,2752.2207,-718.1943,IRS - Henle's layer,1.086404141430501,2.593669842614852,1.8684336294232708
-782.2003,-125.301094,-1063.1587,TAC-1,19.356470614664435,10.42904258972069,-6.12254482640659
-26.890593,-401.58588,74.48441,TAC-2,0.8682727338692132,-6.168241260488466,4.009642748460035
41.25891,-1001.2487,979.5525,HS - Cortex,2.5001832483058566,-13.58471728333788,5.412739157780416
518.58203,-233.67442,23.019516,TAC-2,-3.04998773355843,6.052129984220861,-0.2465128748489269
469.24878,599.3148,351.22617,TAC-2,2.901111427423548,-6.063678353886763,-2.8933753224361323
-199.65182,-29.772085,-364.26505,TAC-2,9.477064363689523,-2.759526830005887,2.6178361521069258
-769.14264,-112.60999,-1091.1356,TAC-1,4.90220615552608,-10.293469026672142,-1.7964668880810166
-993.2066,-540.06647,-821.2846,TAC-1,9.684118919999383,-12.17613019578056,0.527995440136526
-742.02136,1545.0334,-793.75885,TAC-1,-2.5394245623891947,6.936775287207005,-8.25339654625131
1191.7249,-821.2178,-36.533623,IRS - Huxley's layer,-4.334561648119916,-7.140426564477505,-10.594005863761543
-495.8628,-188.64833,-893.5199,TAC-1,0.2123069849602193,-0.216049644869802,-0.0571208858223809
-1131.8733,-355.74997,-1218.9021,TAC-1,12.525930529676382,12.785673729360877,10.24725251043657
367.09076,258.09674,134.88649,TAC-2,-4.776542326795796,2.8096949553960653,-9.6095427157369
1573.978,1375.1565,533.0276,TAC-2,7.73026588760934,-3.136721665759461,-2.09521341951802
-960.2944,-1070.4823,-576.38574,TAC-1,-0.6188877312661799,-6.31590438867773,-2.2723751536616605
